"Test","Chisq","Df","p.value"
"Age*","70.05",28,"< 0.0001"
"Temperature*","84.37",28,"< 0.0001"
"Salinity*","27.82",28,"0.0010"
"Age:Temperature*","40.82",22,"< 0.0001"
"Age:Salinity*","15.9",22,"0.0810"
"Temperature:Salinity*","22.8",22,"0.0020"
"Age:Temperature:Salinity","14.94",18,"0.0390"
"Random intercept","4.32",1,"0.0030"
