"Test","Chisq","Df","p.value"
"Age*",117.76,10,"< 0.0001"
"Temperature*",26.98,10,"< 0.0001"
"Salinity*",17.77,10,"0.0001"
"Age:Temperature*",20.98,4,"< 0.0001"
"Age:Salinity*",11.61,4,"0.0001"
"Temperature:Salinity",5.85,4,"0.0200"
"Random intercept",5.84,1,"0.0006"
"Random slope",79.32,2,"< 0.0001"
